己丑庚午戊辰戊午|土土金火土土土火
壬戌己酉壬午壬寅|水土土金水火水木
丁未壬子己丑辛未|火土水水土土金土
丙子戊戌丁亥丙午|火水土土火水火火
丙子庚子戊戌丁巳|火水金水土土火火
丁巳辛亥癸亥戊午|火火金水水水土火
癸未庚申壬戌壬寅|水土金金水土水木
甲子戊辰丁未壬寅|木水土土火土水木
癸巳丁巳丁酉辛亥|水火火火火金金水
壬寅壬寅壬午甲辰|水木水木水火木土
乙未乙酉丙戌庚寅|木土木金火土金木
壬子庚戌丙戌戊子|水水金土火土土水
壬午乙巳癸未辛酉|水火木火水土金金
壬子己酉丁丑辛亥|水水土金火土金水
戊申乙卯乙巳丁亥|土金木木木火火水
辛丑辛丑丙辰乙未|金土金土火土木土
丁丑戊申戊申壬戌|火土土金土金水土
戊戌甲寅丙寅己亥|土土木木火木土水
癸丑乙卯戊子癸丑|水土木木土水水土
戊辰辛酉壬子丁未|土土金金水水火土
丙申甲午戊午癸亥|火金木火土火水水
辛未甲午丙子戊戌|金土木火火水土土
丙子丁酉甲午甲子|火水火金木火木水
戊戌壬戌戊寅戊午|土土水土土木土火
甲子丙子辛酉壬辰|木水火水金金水土
壬戌庚戌辛未戊戌|水土金土金土土土
乙丑乙酉庚辰乙酉|木土木金金土木金
丙寅乙未辛亥己丑|火木木土金水土土
辛卯庚子庚申丁亥|金木金水金金火水
癸丑戊午丁未庚戌|水土土火火土金土
甲子乙亥己未辛未|木水木水土土金土
丙辰丁酉癸酉甲寅|火土火金水金木木
壬午辛亥乙未辛巳|水火金水木土金火
己未丙寅丁未戊申|土土火木火土土金
甲辰丙子壬子癸卯|木土火水水水水木
甲子己巳甲午甲戌|木水土火木火木土
丙寅丁酉庚申癸未|火木火金金金水土
癸酉甲寅丙午丁酉|水金木木火火火金
乙卯己丑戊戌己未|木木土土土土土土
癸酉庚申癸亥壬子|水金金金水水水水
癸巳乙卯丙子庚寅|水火木木火水金木
甲辰丙寅己亥戊辰|木土火木土水土土
壬午庚戌甲辰丙寅|水火金土木土火木
己巳戊辰壬寅甲辰|土火土土水木木土
甲寅戊辰乙卯乙酉|木木土土木木木金
甲申庚午乙巳甲申|木金金火木火木金
己卯戊辰丁丑丁未|土木土土火土火土
辛巳乙未丙戌戊戌|金火木土火土土土
乙巳戊寅庚子戊寅|木火土木金水土木
壬午丁未壬辰壬寅|水火火土水土水木
癸卯壬戌甲戌乙亥|水木水土木土木水
癸未丁巳戊申戊午|水土火火土金土火
辛丑丙申辛未乙未|金土火金金土木土
丙戌庚子甲戌庚午|火土金水木土金火
癸酉丁巳辛卯戊戌|水金火火金木土土
丁卯丙午丁卯乙巳|火木火火火木木火
戊子己未辛亥己亥|土水土土金水土水
甲午己巳癸巳丙辰|木火土火水火火土
丙寅戊戌辛酉庚寅|火木土土金金金木
庚申戊寅丁酉丙午|金金土木火金火火
壬辰癸卯丙子己亥|水土水木火水土水
癸丑丙辰甲午丙寅|水土火土木火火木
辛亥甲午丙辰庚寅|金水木火火土金木
庚子癸未壬午辛丑|金水水土水火金土
丁酉癸丑壬戌己酉|火金水土水土土金
庚寅甲申丁未丙午|金木木金火土火火
庚申丙戌丙寅戊子|金金火土火木土水
丙戌壬辰甲寅庚午|火土水土木木金火
戊申甲子戊申辛酉|土金木水土金金金
乙未丙戌辛未癸巳|木土火土金土水火
壬子壬寅丁未丁未|水水水木火土火土
壬午壬子戊辰壬子|水火水水土土水水
庚午乙酉癸酉丙辰|金火木金水金火土
辛卯甲午辛卯庚寅|金木木火金木金木
戊申癸亥乙未壬午|土金水水木土水火
丙申庚寅庚戌庚辰|火金金木金土金土
癸未甲寅丙午壬辰|水土木木火火水土
戊申辛酉丁酉辛丑|土金金金火金金土
丁酉癸丑乙卯甲申|火金水土木木木金
壬子癸卯丙申壬辰|水水水木火金水土
辛亥辛丑丙申丙申|金水金土火金火金
辛未辛丑辛巳壬辰|金土金土金火水土
丙寅戊戌庚申乙酉|火木土土金金木金
辛未戊戌戊戌壬戌|金土土土土土水土
乙丑戊子壬子丁未|木土土水水水火土
丁未癸丑己酉丁卯|火土水土土金火木
癸亥癸亥己酉甲子|水水水水土金木水
乙卯庚辰戊申壬子|木木金土土金水水
己巳丙子辛丑辛卯|土火火水金土金木
乙卯己卯丁亥辛丑|木木土木火水金土
丙寅辛卯壬寅戊申|火木金木水木土金
乙亥己卯己亥丁卯|木水土木土水火木
丁丑乙巳辛亥戊戌|火土木火金水土土
丁亥癸卯丁巳甲辰|火水水木火火木土
己亥丁丑癸卯甲寅|土水火土水木木木
壬辰乙巳丙戌乙未|水土木火火土木土
己酉丙寅辛巳丙申|土金火木金火火金
己巳丁卯丁亥己酉|土火火木火水土金
丁巳丁未甲申丁卯|火火火土木金火木
丁酉戊申庚辰丁丑|火金土金金土火土
甲寅庚午己卯乙亥|木木金火土木木水
乙巳己丑壬子癸卯|木火土土水水水木
甲子丁卯丙戌壬辰|木水火木火土水土
庚戌辛巳癸巳壬戌|金土金火水火水土
甲辰丙子乙酉丙子|木土火水木金火水
己亥戊辰庚申辛巳|土水土土金金金火
丁酉甲辰丙寅丙申|火金木土火木火金
戊午甲子辛卯戊子|土火木水金木土水
乙巳己卯丁酉丙午|木火土木火金火火
戊子戊午乙未庚辰|土水土火木土金土
辛亥丙申丁巳己酉|金水火金火火土金
癸未丙辰丙午癸巳|水土火土火火水火
癸酉丁巳己亥庚午|水金火火土水金火
癸卯戊午癸巳庚申|水木土火水火金金
庚子壬午己未壬申|金水水火土土水金
戊辰壬戌丁卯乙巳|土土水土火木木火
乙丑己卯戊辰丁巳|木土土木土土火火
丙午丙申戊戌壬子|火火火金土土水水
壬辰壬寅丁酉庚戌|水土水木火金金土
壬辰丁未甲子庚午|水土火土木水金火
丙辰丙申丙辰丙申|火土火金火土火金
己亥辛未己巳乙亥|土水金土土火木水
甲午己巳庚寅戊寅|木火土火金木土木
庚辰丁亥丁巳丁未|金土火水火火火土
戊寅癸亥乙卯丁丑|土木水水木木火土
戊午戊午丙戌乙未|土火土火火土木土
乙亥辛巳丁未乙巳|木水金火火土木火
己巳癸酉庚申甲申|土火水金金金木金
壬辰戊申己巳壬申|水土土金土火水金
丙辰丙申甲寅癸酉|火土火金木木水金
丁未癸卯丙戌戊戌|火土水木火土土土
戊午癸亥乙未戊寅|土火水水木土土木
庚辰丁亥丙戌丙申|金土火水火土火金
癸巳丙辰己亥戊辰|水火火土土水土土
庚子庚辰甲辰辛未|金水金土木土金土
乙未丙戌戊午辛酉|木土火土土火金金
丙午辛丑戊午丙辰|火火金土土火火土
庚寅壬午壬子己酉|金木水火水水土金
甲寅壬申壬午辛丑|木木水金水火金土
辛酉辛丑壬戌丙午|金金金土水土火火
甲午癸酉丁丑庚子|木火水金火土金水
丙戌壬辰辛酉庚寅|火土水土金金金木
辛亥乙未丙辰庚寅|金水木土火土金木
辛丑庚寅癸亥辛酉|金土金木水水金金
丁丑庚戌癸巳乙卯|火土金土水火木木
甲寅辛未乙巳丁亥|木木金土木火火水
辛酉癸巳辛未戊子|金金水火金土土水
己卯丁丑乙卯戊寅|土木火土木木土木
丁亥丁未癸酉癸亥|火水火土水金水水
庚申癸未庚辰戊寅|金金水土金土土木
甲戌戊辰癸亥丙辰|木土土土水水火土
甲申己巳癸卯戊午|木金土火水木土火
癸酉戊午庚午乙酉|水金土火金火木金
壬申壬子癸丑壬戌|水金水水水土水土
甲辰丁卯壬午乙巳|木土火木水火木火
丁巳丙午甲子己巳|火火火火木水土火
癸亥乙丑壬午癸卯|水水木土水火水木
辛亥乙未甲辰癸酉|金水木土木土水金
己丑辛未庚戌辛巳|土土金土金土金火
丙戌乙未甲申乙亥|火土木土木金木水
乙巳甲申戊午辛酉|木火木金土火金金
庚辰甲申乙巳丙子|金土木金木火火水
壬寅癸丑乙未丙子|水木水土木土火水
庚子辛巳乙丑丙戌|金水金火木土火土
丁亥戊申庚辰甲申|火水土金金土木金
辛酉乙未戊午丙辰|金金木土土火火土
乙巳丙戌癸巳庚申|木火火土水火金金
壬子丙午己亥丁卯|水水火火土水火木
癸未己未丁酉庚戌|水土土土火金金土
戊子甲子丁卯戊申|土水木水火木土金
乙丑戊子壬戌庚戌|木土土水水土金土
丙午己亥乙亥丁丑|火火土水木水火土
癸亥壬戌壬午戊申|水水水土水火土金
庚午甲申庚戌乙酉|金火木金金土木金
戊戌甲寅辛巳癸巳|土土木木金火水火
丁巳癸丑庚辰癸未|火火水土金土水土
戊子癸亥戊寅戊午|土水水水土木土火
丁卯己酉癸丑乙卯|火木土金水土木木
乙丑乙酉丁酉乙巳|木土木金火金木火
辛未乙未甲午乙丑|金土木土木火木土
癸亥癸亥癸巳癸亥|水水水水水火水水
甲子丙子辛酉甲午|木水火水金金木火
乙卯甲申壬戌庚子|木木木金水土金水
丁未癸卯癸卯癸丑|火土水木水木水土
丁卯壬寅辛丑壬辰|火木水木金土水土
丁卯壬寅辛未壬辰|火木水木金土水土
己未庚午辛亥甲午|土土金火金水木火
己亥癸酉丁酉壬寅|土水水金火金水木
戊辰癸亥乙卯丁亥|土土水水木木火水
庚辰壬午丁亥乙巳|金土水火火水木火
壬午庚戌辛亥辛卯|水火金土金水金木
乙亥庚辰甲午甲戌|木水金土木火木土
戊午庚申戊午丁巳|土火金金土火火火
己丑丁卯乙卯壬午|土土火木木木水火
壬戌壬子辛卯丁酉|水土水水金木火金
癸未甲寅戊寅乙卯|水土木木土木木木
癸未乙丑丁亥癸卯|水土木土火水水木
癸巳癸亥己丑己巳|水火水水土土土火
丁巳丙午壬辰庚戌|火火火火水土金土
壬戌壬子庚寅丙戌|水土水水金木火土
庚辰壬午丁巳庚子|金土水火火火金水
乙巳乙酉己卯丙寅|木火木金土木火木
壬寅丙午辛亥己亥|水木火火金水土水
庚申庚辰丁未戊申|金金金土火土土金
庚午丁亥甲辰丙寅|金火火水木土火木
丙寅丙申丁亥癸卯|火木火金火水水木
己亥己巳戊辰丁巳|土水土火土土火火
戊申丁巳庚寅乙酉|土金火火金木木金
癸卯乙卯癸亥己未|水木木木水水土土
丁巳庚戌丙戌甲午|火火金土火土木火
甲午乙亥癸未甲寅|木火木水水土木木
己亥甲戌丙戌戊子|土水木土火土土水
甲寅己巳戊辰丁巳|木木土火土土火火
戊辰壬戌戊申辛酉|土土水土土金金金
己未乙亥辛亥辛卯|土土木水金水金木
壬午辛亥庚辰己卯|水火金水金土土木
丁亥庚戌壬申庚子|火水金土水金金水
戊子癸亥庚申丁丑|土水水水金金火土
壬申辛亥乙巳丁丑|水金金水木火火土
乙巳壬午丁丑癸卯|木火水火火土水木
丁未癸卯甲辰甲子|火土水木木土木水
戊午癸亥癸亥庚申|土火水水水水金金
甲午戊辰甲辰乙亥|木火土土木土木水
丙申乙未乙卯丙戌|火金木土木木火土
庚戌己丑庚辰丁亥|金土土土金土火水
丁卯戊申乙酉己卯|火木土金木金土木
辛酉庚子辛丑戊子|金金金水金土土水
癸未丁巳壬申壬寅|水土火火水金水木
戊寅壬戌己卯辛未|土木水土土木金土
己丑甲戌己丑壬申|土土木土土土水金
庚子戊寅戊子壬子|金水土木土水水水
丙辰癸巳乙酉丁丑|火土水火木金火土
甲辰癸酉辛巳乙未|木土水金金火木土
乙巳戊寅辛未己亥|木火土木金土土水
辛酉戊戌癸巳壬戌|金金土土水火水土
庚戌丙戌乙酉庚辰|金土火土木金金土
丁未癸丑己未壬申|火土水土土土水金
己巳乙亥辛巳己亥|土火木水金火土水
癸丑己未癸丑戊午|水土土土水土土火
己丑壬申丁亥癸卯|土土水金火水水木
辛亥戊戌丁亥庚戌|金水土土火水金土
壬戌壬子丙申庚寅|水土水水火金金木
庚申戊子甲午乙丑|金金土水木火木土
壬午己酉己卯壬申|水火土金土木水金
庚午壬午辛巳丙申|金火水火金火火金
丙子庚寅癸未壬子|火水金木水土水水
丙寅戊戌丙申丙申|火木土土火金火金
庚申壬午庚申壬午|金金水火金金水火
己卯丁丑壬申甲辰|土木火土水金木土
癸亥甲寅辛酉乙未|水水木木金金木土
辛酉庚寅己丑壬申|金金金木土土水金
乙巳庚辰癸卯甲寅|木火金土水木木木
己丑丁卯戊辰辛酉|土土火木土土金金
庚子庚辰甲午丙寅|金水金土木火火木
戊午甲子己卯癸酉|土火木水土木水金
庚子己卯癸卯壬子|金水土木水木水水
己亥甲戌戊子己未|土水木土土水土土
庚辰己丑戊寅甲寅|金土土土土木木木
丁卯戊申甲子丙寅|火木土金木水火木
甲申戊辰庚辰辛巳|木金土土金土金火
乙酉己卯丙午辛卯|木金土木火火金木
丁未癸卯癸巳甲寅|火土水木水火木木
戊辰丙辰辛巳庚寅|土土火土金火金木
辛亥乙未戊辰己未|金水木土土土土土
壬子癸丑甲戌甲子|水水水土木土木水
己巳丁卯戊子辛酉|土火火木土水金金
甲寅丙寅丁酉辛亥|木木火木火金金水
壬子乙巳戊戌甲寅|水水木火土土木木
癸未己未戊申丙辰|水土土土土金火土
戊申甲寅庚戌己卯|土金木木金土土木
丁巳庚戌丁酉辛丑|火火金土火金金土
丁亥戊申甲子己巳|火水土金木水土火
己未己巳丁卯壬寅|土土土火火木水木
丙寅癸巳乙丑戊寅|火木水火木土土木
己丑己巳丁巳辛丑|土土土火火火金土
戊子戊午甲辰甲子|土水土火木土木水
癸未辛酉己酉辛未|水土金金土金金土
丙寅甲午丁卯辛丑|火木木火火木金土
丙午戊戌戊子丁巳|火火土土土水火火
甲辰癸酉甲戌丁卯|木土水金木土火木
庚寅丙戌己酉甲戌|金木火土土金木土
丙午丁酉壬子辛丑|火火火金水水金土
丙戌癸巳壬午壬寅|火土水火水火水木
辛丑辛丑壬戌己酉|金土金土水土土金
辛巳丙申戊申辛酉|金火火金土金金金
丁亥辛亥癸亥丙辰|火水金水水水火土
丙辰己亥癸卯庚申|火土土水水木金金
辛卯丁酉癸巳壬戌|金木火金水火水土
丁未庚戌辛未己丑|火土金土金土土土
丁酉甲辰乙丑庚辰|火金木土木土金土
庚子戊子辛未戊戌|金水土水金土土土
乙巳乙酉癸丑壬子|木火木金水土水水
壬辰癸丑戊戌己未|水土水土土土土土
丙子癸巳戊申壬子|火水水火土金水水
甲申丙子壬申戊申|木金火水水金土金
丙辰乙未庚戌丙子|火土木土金土火水
甲戌丙寅甲子甲戌|木土火木木水木土
庚午辛巳壬午戊申|金火金火水火土金
己巳丁卯甲戌甲子|土火火木木土木水
乙卯庚辰庚申庚辰|木木金土金金金土
戊子戊午甲午乙丑|土水土火木火木土
庚午壬午己亥乙丑|金火水火土水木土
壬寅庚戌丁丑辛丑|水木金土火土金土
甲寅甲戌丙辰甲午|木木木土火土木火
戊辰丁巳辛酉壬辰|土土火火金金水土
丁亥癸卯辛亥丙申|火水水木金水火金
甲戌癸酉癸丑癸亥|木土水金水土水水
戊申壬戌壬戌癸卯|土金水土水土水木
己丑辛未庚申辛巳|土土金土金金金火
庚辰癸未丙戌己亥|金土水土火土土水
壬子癸卯庚申丁丑|水水水木金金火土
壬申癸丑戊子甲寅|水金水土土水木木
甲寅庚午辛丑乙未|木木金火金土木土
丁亥甲辰甲午壬申|火水木土木火水金
壬戌辛亥戊寅戊午|水土金水土木土火
甲寅甲戌己酉己巳|木木木土土金土火
乙卯庚辰庚申壬午|木木金土金金水火
丁丑壬寅甲午丁卯|火土水木木火火木
甲辰壬申庚辰丙戌|木土水金金土火土
甲寅甲戌乙亥壬午|木木木土木水水火
丁未戊申丁亥乙巳|火土土金火水木火
甲午己巳辛卯癸巳|木火土火金木水火
乙巳癸未甲子戊辰|木火水土木水土土
戊午癸亥丙午戊子|土火水水火火土水
辛亥丙申乙亥甲申|金水火金木水木金
辛未戊戌己巳戊辰|金土土土土火土土
甲子丁卯丙子乙未|木水火木火水木土
丁卯辛亥庚午戊寅|火木金水金火土木
丁未己酉乙亥己卯|火土土金木水土木
辛亥丙申乙卯壬午|金水火金木木水火
甲寅丁卯甲寅甲子|木木火木木木木水
丙辰壬辰戊子辛酉|火土水土土水金金
庚子己卯丁巳戊申|金水土木火火土金
戊子甲子庚午丁丑|土水木水金火火土
乙巳甲申甲寅甲戌|木火木金木木木土
丙寅壬辰壬寅戊申|火木水土水木土金
癸酉丙辰丙寅己丑|水金火土火木土土
庚寅甲申辛丑丙申|金木木金金土火金
壬午辛亥丁卯辛丑|水火金水火木金土
戊午庚申乙未丁亥|土火金金木土火水
癸亥戊午癸巳丁巳|水水土火水火火火
辛丑己亥甲申辛未|金土土水木金金土
乙丑辛巳甲子己巳|木土金火木水土火
丙寅丙申辛巳辛卯|火木火金金火金木
丙申辛丑壬午癸卯|火金金土水火水木
己未癸酉癸卯甲寅|土土水金水木木木
丁巳壬子庚寅丙子|火火水水金木火水
庚子己卯甲戌庚午|金水土木木土金火
甲申辛未丁丑辛丑|木金金土火土金土
庚寅壬午丙子戊子|金木水火火水土水
己酉戊辰丙辰丙申|土金土土火土火金
丙子戊戌丁未丁未|火水土土火土火土
辛未戊戌丙寅己亥|金土土土火木土水
丁酉戊申乙酉辛巳|火金土金木金金火
戊申癸亥丁卯庚戌|土金水水火木金土
庚戌癸未丙申己丑|金土水土火金土土
乙亥辛巳乙未丙子|木水金火木土火水
己卯丙寅癸丑辛酉|土木火木水土金金
戊辰辛酉丙戌戊戌|土土金金火土土土
己卯丁卯乙酉丙戌|土木火木木金火土
辛酉丁酉甲申戊辰|金金火金木金土土
甲寅丁卯己亥癸酉|木木火木土水水金
乙巳丁亥丁卯甲辰|木火火水火木木土
壬子戊申癸酉戊午|水水土金水金土火
壬申庚戌癸未庚申|水金金土水土金金
庚午戊寅辛未甲午|金火土木金土木火
壬申癸丑甲辰壬申|水金水土木土水金
壬申丁未戊子壬子|水金火土土水水水
丁巳庚戌丙寅壬辰|火火金土火木水土
癸卯壬戌辛未己亥|水木水土金土土水
己酉丁卯己卯丁卯|土金火木土木火木
壬申丁未壬申庚戌|水金火土水金金土
辛未己亥己酉庚午|金土土水土金金火
乙巳壬午癸丑丙辰|木火水火水土火土
戊寅癸亥丁巳辛丑|土木水水火火金土
甲午甲戌丁卯庚子|木火木土火木金水
辛酉己亥戊申己未|金金土水土金土土
戊子乙卯癸巳癸丑|土水木木水火水土
甲寅丁卯癸巳癸丑|木木火木水火水土
丁巳壬子壬午甲辰|火火水水水火木土
庚申丙戌壬戌己酉|金金火土水土土金
丙午癸巳乙丑戊寅|火火水火木土土木
癸未甲寅丁丑辛亥|水土木木火土金水
丁亥癸丑丙寅庚寅|火水水土火木金木
丙申丁酉辛巳己亥|火金火金金火土水
丙辰丙申壬子辛丑|火土火金水水金土
戊申甲寅甲子癸酉|土金木木木水水金
乙巳乙酉己酉甲子|木火木金土金木水
丙辰辛卯庚子戊寅|火土金木金水土木
辛巳庚子己丑乙亥|金火金水土土木水
甲子甲戌戊寅壬子|木水木土土木水水
丁亥壬寅辛卯丁酉|火水水木金木火金
甲子丙寅戊午壬戌|木水火木土火水土
辛酉辛丑乙酉戊寅|金金金土木金土木
己未甲戌丁卯壬寅|土土木土火木水木
壬子己酉戊子丙辰|水水土金土水火土
戊戌甲寅乙酉乙酉|土土木木木金木金
甲申甲戌乙卯己卯|木金木土木木土木
癸丑丁巳壬子甲辰|水土火火水水木土
戊申乙卯丙辰辛卯|土金木木火土金木
癸酉癸亥庚寅乙酉|水金水水金木木金
丙午辛丑癸丑癸丑|火火金土水土水土
丙午庚子壬戌戊申|火火金水水土土金
戊申甲寅己酉壬申|土金木木土金水金
癸酉己未丁丑丁未|水金土土火土火土
壬午戊申乙巳丙子|水火土金木火火水
壬午壬子辛亥丁酉|水火水水金水火金
甲寅丙寅戊子戊午|木木火木土水土火
戊午庚申丁亥壬寅|土火金金火水水木
辛亥甲午壬寅壬寅|金水木火水木水木
壬子甲辰庚午乙酉|水水木土金火木金
庚午庚辰辛亥乙未|金火金土金水木土
癸丑癸亥庚寅甲申|水土水水金木木金
辛巳癸巳辛酉庚寅|金火水火金金金木
庚子壬午己巳辛未|金水水火土火金土
庚午戊子庚午辛巳|金火土水金火金火
辛未辛卯丙戌戊戌|金土金木火土土土
丁丑癸丑癸丑辛酉|火土水土水土金金
壬戌庚戌庚申己卯|水土金土金金土木
己酉辛未丁巳丁未|土金金土火火火土
甲子庚午甲午甲戌|木水金火木火木土
辛卯癸巳戊寅丙辰|金木水火土木火土
乙亥丙戌乙未辛巳|木水火土木土金火
庚寅壬午己卯丁卯|金木水火土木火木
癸亥甲寅己未乙丑|水水木木土土木土
戊申癸亥壬午丁未|土金水水水火火土
丙辰丁酉癸巳己未|火土火金水火土土
己酉丙寅丁丑甲辰|土金火木火土木土
壬寅壬寅乙巳丙子|水木水木木火火水
壬戌乙巳丁巳戊申|水土木火火火土金
乙巳己卯庚辰癸未|木火土木金土水土
甲寅庚午甲戌乙丑|木木金火木土木土
癸未乙卯庚寅丁丑|水土木木金木火土
戊午乙卯庚子壬午|土火木木金水水火
癸亥丙辰己亥丁卯|水水火土土水火木
癸巳甲寅癸丑甲寅|水火木木水土木木
壬戌丁未甲寅癸酉|水土火土木木水金
丙辰丙申乙卯辛巳|火土火金木木金火
甲子丁丑庚辰戊寅|木水火土金土土木
戊申乙卯甲申辛未|土金木木木金金土
庚子戊子壬午壬寅|金水土水水火水木
己丑丁卯乙卯辛巳|土土火木木木金火
癸未己未己亥壬申|水土土土土水水金
癸未乙卯戊子壬子|水土木木土水水水
丙子辛卯庚戌丁亥|火水金木金土火水
庚子己卯甲辰乙亥|金水土木木土木水
丁巳丙午丁巳辛丑|火火火火火火金土
戊寅辛酉癸酉丙辰|土木金金水金火土
癸巳乙丑辛未丙申|水火木土金土火金
己酉丙子丁卯甲辰|土金火水火木木土
癸卯乙卯辛丑戊戌|水木木木金土土土
壬子丙午乙卯庚辰|水水火火木木金土
丁丑癸卯丁酉丁未|火土水木火金火土
己酉己巳己亥戊辰|土金土火土水土土
丙子甲午辛丑癸巳|火水木火金土水火
癸巳丁巳辛卯壬辰|水火火火金木水土
乙卯庚辰辛巳戊子|木木金土金火土水
己酉癸酉壬寅甲辰|土金水金水木木土
甲午丙子庚戌辛巳|木火火水金土金火
戊申丙辰壬子己酉|土金火土水水土金
癸巳甲寅丁亥庚戌|水火木木火水金土
壬辰壬寅丙午戊戌|水土水木火火土土
丁酉壬寅丙辰癸巳|火金水木火土水火
乙卯己卯辛巳己亥|木木土木金火土水
戊辰壬戌丙申辛卯|土土水土火金金木
乙卯戊寅丁卯己酉|木木土木火木土金
丁未壬寅戊申癸亥|火土水木土金水水
戊子戊午丙子丙申|土水土火火水火金
丁亥甲辰丁巳甲辰|火水木土火火木土
辛未丙申甲辰癸酉|金土火金木土水金
丙寅癸巳庚寅丁丑|火木水火金木火土
甲子丁丑甲戌辛未|木水火土木土金土
辛未丙申壬子戊申|金土火金水水土金
壬辰壬子戊午癸亥|水土水水土火水水
戊申甲子癸丑甲寅|土金木水水土木木
壬午戊申辛未丁酉|水火土金金土火金
己巳庚午庚寅甲申|土火金火金木木金
壬辰辛亥己未甲戌|水土金水土土木土
甲子庚午辛亥甲午|木水金火金水木火
乙巳丁亥癸酉癸丑|木火火水水金水土
甲申乙亥己卯庚午|木金木水土木金火
辛酉庚子己巳壬申|金金金水土火水金
己未丙子癸未甲寅|土土火水水土木木
辛卯庚子庚寅丁丑|金木金水金木火土
辛未壬辰甲戌庚午|金土水土木土金火
丁丑壬寅壬寅丙午|火土水木水木火火
辛未庚子癸卯辛酉|金土金水水木金金
庚子癸未甲辰乙丑|金水水土木土木土
庚辰丁亥戊寅辛酉|金土火水土木金金
癸丑戊午丁酉乙巳|水土土火火金木火
壬辰辛亥辛酉己亥|水土金水金金土水
辛酉丙申辛未丙申|金金火金金土火金
辛丑甲午壬戌辛丑|金土木火水土金土
乙酉丙戌丙寅己亥|木金火土火木土水
庚辰壬午乙巳丁亥|金土水火木火火水
戊午己未壬午癸卯|土火土土水火水木
辛酉戊戌癸酉戊午|金金土土水金土火
辛卯辛卯丁丑壬寅|金木金木火土水木
丁巳壬子己亥乙丑|火火水水土水木土
丁未癸丑癸丑丙辰|火土水土水土火土
戊子乙卯辛卯戊戌|土水木木金木土土
丁酉壬寅丁巳癸卯|火金水木火火水木
丙寅庚寅己卯戊辰|火木金木土木土土
壬戌癸丑辛卯己丑|水土水土金木土土
丙辰丙申庚戌丁亥|火土火金金土火水
丁未乙巳丙子辛卯|火土木火火水金木
丁巳丁未壬午庚戌|火火火土水火金土
癸亥癸亥甲申己巳|水水水水木金土火
戊午庚申丁未甲辰|土火金金火土木土
庚午乙酉甲午甲子|金火木金木火木水
戊戌乙卯壬寅辛丑|土土木木水木金土
丁未壬子乙未戊寅|火土水水木土土木
丙子庚寅甲申乙亥|火水金木木金木水
己巳壬申丁丑庚子|土火水金火土金水
壬午壬子甲寅壬申|水火水水木木水金
辛亥丙申乙未丙戌|金水火金木土火土
壬戌己酉庚子丙戌|水土土金金水火土
丙午癸巳辛未戊戌|火火水火金土土土
甲戌丁卯庚辰己卯|木土火木金土土木
壬寅壬寅壬子庚子|水木水木水水金水
壬戌戊申乙亥丙戌|水土土金木水火土
辛丑庚子丙寅庚寅|金土金水火木金木
丙戌己亥辛酉丙申|火土土水金金火金
甲子癸酉己丑丁卯|木水水金土土火木
丁卯癸丑丁丑癸卯|火木水土火土水木
乙巳己丑戊寅戊午|木火土土土木土火
癸卯甲子己丑丙寅|水木木水土土火木
戊申乙丑乙巳癸未|土金木土木火水土
壬子壬寅辛卯丁酉|水水水木金木火金
辛丑壬辰乙酉乙酉|金土水土木金木金
乙未壬午己巳庚午|木土水火土火金火
戊寅庚申丁酉己酉|土木金金火金土金
庚午庚辰乙未乙酉|金火金土木土木金
辛巳癸巳丁亥庚戌|金火水火火水金土
辛亥甲午丁亥己酉|金水木火火水土金
己丑丙子癸巳甲寅|土土火水水火木木
癸丑乙卯庚午丁丑|水土木木金火火土
甲寅甲戌癸巳庚申|木木木土水火金金
乙巳己丑辛酉戊子|木火土土金金土水
乙卯戊寅壬辰己酉|木木土木水土土金
庚辰乙酉丙戌戊戌|金土木金火土土土
癸亥甲子己亥壬申|水水木水土水水金
辛酉乙未庚寅辛巳|金金木土金木金火
丙辰癸巳丙辰己亥|火土水火火土土水
戊午甲子庚辰丙子|土火木水金土火水
壬寅丁未辛卯庚寅|水木火土金木金木
甲申丁丑辛卯戊戌|木金火土金木土土
甲申癸酉己丑庚午|木金水金土土金火
乙酉己卯乙亥戊寅|木金土木木水土木
癸丑壬戌辛未戊子|水土水土金土土水
癸巳丙辰辛丑戊戌|水火火土金土土土
辛酉壬辰乙丑甲申|金金水土木土木金
己未庚午己卯乙丑|土土金火土木木土
戊午乙丑丙戌己丑|土火木土火土土土
丙戌庚子乙亥丙戌|火土金水木水火土
丁巳丁未庚寅戊寅|火火火土金木土木
己巳己巳丁酉戊申|土火土火火金土金
甲戌丙子癸丑癸亥|木土火水水土水水
丙子己亥甲午己巳|火水土水木火土火
辛巳甲午戊子癸丑|金火木火土水水土
癸卯庚申乙巳甲申|水木金金木火木金
辛卯甲午辛亥己亥|金木木火金水土水
壬戌戊申辛酉己丑|水土土金金金土土
丁卯壬寅辛巳丙申|火木水木金火火金
甲申丁丑庚辰丙戌|木金火土金土火土
乙丑甲申壬午丁未|木土木金水火火土
己亥癸酉癸亥乙卯|土水水金水水木木
乙酉戊寅丙午戊子|木金土木火火土水
壬子丁未乙未戊寅|水水火土木土土木
戊申丙辰丙申己丑|土金火土火金土土
丙午乙未己未乙丑|火火木土土土木土
丙辰戊戌癸巳庚申|火土土土水火金金
辛亥庚寅庚子壬午|金水金木金水水火
辛亥壬辰癸亥辛酉|金水水土水水金金
庚辰乙酉壬申丙午|金土木金水金火火
乙酉丁亥己亥己巳|木金火水土水土火
